31,"city","La Tina Ranch"
31,"city","Lago"
31,"city","Lago Colonia"
31,"city","Laguna Heights"
31,"city","Laguna Vista"
31,"city","Las Palmas Colonia"
31,"city","Lasana"
31,"city","Lasana Colonia"
31,"city","Laureles"
31,"city","Los Fresnos"
31,"city","Los Indios"
31,"city","Lozano"
31,"city","Olmito"
31,"city","Orason Acres Colonia"
31,"city","Palm Valley"
31,"city","Port Isabel"
31,"city","Primera"
31,"city","Ranchito"
31,"city","Rancho Viejo"
31,"city","Rangerville"
31,"city","Ratamosa"
31,"city","Ratamosa Colonia"
31,"city","Reid Hope King Colonia"
31,"city","Rio Hondo"
31,"city","San Benito"
31,"city","San Pedro"
31,"city","San Pedro Colonia"
31,"city","Santa Maria"
31,"city","Santa Rosa"
31,"city","Solis"
31,"city","Solis Colonia"
31,"city","South Padre Island"
31,"city","South Point"
31,"city","South Point Colonia"
31,"city","Tierra Bonita"
31,"city","Tierra Bonita Colonia"
31,"city","Villa del Sol"
31,"city","Villa del Sol Colonia"
31,"city","Villa Pancho"
31,"city","Villa Pancho Colonia"
31,"city","Yznaga"
31,"town","Adams Gardens"
31,"town","Alabama-Arkansas Colonia"
31,"town","Alfredo Garza Colonia"
31,"town","Alto Real Colonia"
31,"town","Angel Haven Colonia"
31,"town","Arroyo Alto Colonia"
31,"town","Arroyo City Subdivision Colonia"
31,"town","Aurora Longoria Colonia"
31,"town","Avondale"
31,"town","Barrington Heights Colonia"
31,"town","Barrios Colonia"
31,"town","Bautista Colonia"
31,"town","Betty Acres Colonia"
31,"town","Bishop Colonia"
31,"town","Boca Chica and Medford Colonia"
31,"town","Bonnaville Terrace Colonia"
31,"town","Buena Vista"
31,"town","Bullis Addition Colonia"
31,"town","Carretas Crossing"
31,"town","Carricitos"
31,"town","Carricitos-Landrum Colonia"
31,"town","Casa del Rey Colonia"
31,"town","Cavazos"
31,"town","Central Estates Colonia"
31,"town","Channel Lots Colonia"
31,"town","Cielito Lindo Colonia"
31,"town","Cisneros Estates Colonia"
31,"town","Combes Colonia"
31,"town","Coronado Colonia"
31,"town","Coulson Colonia"
31,"town","Dakota MH Park Colonia"
31,"town","Del Mar"
